window_start,k_mgL,mg_mgL,no3-n_ugL,ca_mgL,nh4-n_ugL,Site_ID
1992-06-02,1.26,2.9877777777777776,58,6.188888888888889,NA,BQ2
1992-08-04,1.2733333333333332,3.04,79.66666666666667,6.444444444444445,NA,BQ2
1992-10-06,1.1822222222222223,2.738888888888889,47.75,5.905555555555556,NA,BQ2
1992-12-08,1.2344444444444445,3.0322222222222224,172,6.345555555555555,NA,BQ2
1993-02-09,1.38,3.3477777777777775,145.5,6.855555555555555,NA,BQ2
1993-04-13,1.3155555555555556,2.8722222222222222,89.75,5.665555555555556,NA,BQ2
1993-06-15,1.49,3.163333333333333,95.4,7.022222222222222,NA,BQ2
1993-08-17,1.2966666666666666,2.8777777777777778,61.625,6.525555555555555,NA,BQ2
1993-10-19,1.3855555555555557,2.966666666666667,41.22222222222222,6.611111111111112,NA,BQ2
1993-12-21,1.3711111111111112,2.694444444444444,12.5,5.996666666666667,NA,BQ2
1994-02-22,1.3444444444444446,2.9522222222222223,37.5,6.587777777777778,NA,BQ2
1994-04-26,1.3925,3.24125,22.25,6.95875,NA,BQ2
1994-06-28,1.1633333333333333,2.4833333333333334,145.5,5.0649999999999995,NA,BQ2
1994-08-30,1.32,1.975,NA,4.325,NA,BQ2
1994-11-01,1.25375,2.48875,NA,5.3075,NA,BQ2
1995-01-03,1.15625,2.9475,NA,6.3,NA,BQ2
1995-03-07,1.1066666666666667,3.0083333333333333,NA,6.4383333333333335,NA,BQ2
1995-05-09,1.134,2.846,NA,6,NA,BQ2
1995-07-11,1.055,2.935,NA,6.38,NA,BQ2
1995-09-12,NA,NA,NA,NA,NA,BQ2
1995-11-14,1.4224999999999999,3.54,NA,7.6775,NA,BQ2
1988-02-09,0.5833333333333334,2.7488888888888887,194.77777777777777,3.462222222222222,22.444444444444443,BQ3
1988-04-12,0.658,2.3890000000000002,198.6,2.8810000000000002,46.2,BQ3
1988-06-14,0.677,2.584,NA,2.896,28,BQ3
1988-08-16,0.5984615384615385,2.1923076923076925,140.85714285714286,2.786153846153846,42.2,BQ3
1988-10-18,0.7075,2.6574999999999998,184,3.7885714285714287,57,BQ3
1988-12-20,0.7922222222222223,2.761111111111111,188.88888888888889,3.87,NA,BQ3
1989-02-21,0.6988888888888889,2.716666666666667,158.22222222222223,3.668888888888889,NA,BQ3
1989-04-25,0.7544444444444445,2.9,145.22222222222223,4.1755555555555555,NA,BQ3
1989-06-27,0.8044444444444444,2.626666666666667,111.22222222222223,3.4266666666666667,NA,BQ3
1989-08-29,1.031,2.676,176.5,3.638,NA,BQ3
1989-10-31,1.489,3.586,424.5,4.354,NA,BQ3
1990-01-02,1.4577777777777778,3.61,262.375,5.15,NA,BQ3
1990-03-06,1.406153846153846,2.644615384615385,380.25,3.683076923076923,NA,BQ3
1990-05-08,1.304,3.278,308,4.443,NA,BQ3
1990-07-10,1.0666666666666667,3.4144444444444444,187.375,5.423333333333333,NA,BQ3
1990-09-11,0.9577777777777777,3.2544444444444447,114.55555555555556,5.295555555555556,NA,BQ3
1990-11-13,0.9927272727272728,2.8363636363636364,197.5,4.458181818181818,NA,BQ3
1991-01-15,0.7888888888888889,3.8155555555555556,154.28571428571428,4.995555555555556,NA,BQ3
1991-03-19,0.8233333333333334,3.187777777777778,82.125,4.322222222222222,NA,BQ3
1991-05-21,0.929,3.391,87.25,4.38,NA,BQ3
1991-07-23,0.98,3.269,107.1,4.54,NA,BQ3
1991-09-24,0.8916666666666667,3.0091666666666668,147.91666666666666,4.235833333333333,NA,BQ3
1991-11-26,0.9144444444444445,3.0955555555555554,216.77777777777777,4.552222222222222,NA,BQ3
1992-01-28,1.159,3.3930000000000002,167.11111111111111,5.371,NA,BQ3
1992-03-31,0.9644444444444444,3.088888888888889,80,5.408888888888889,NA,BQ3
1992-06-02,0.9077777777777778,2.8355555555555556,74.11111111111111,4.177777777777778,NA,BQ3
1992-08-04,1.1233333333333333,2.918888888888889,49.66666666666667,4.372222222222223,NA,BQ3
1992-10-06,0.9655555555555556,3.2311111111111113,51.111111111111114,4.5488888888888885,NA,BQ3
1992-12-08,0.9722222222222222,3.358888888888889,22,4.488888888888889,NA,BQ3
1993-02-09,0.8233333333333334,3.256666666666667,129.5,4.522222222222222,NA,BQ3
1993-04-13,0.8624999999999999,3.265,119.75,3.9675,NA,BQ3
1993-06-15,0.8088888888888889,2.891111111111111,65.4,4.6066666666666665,NA,BQ3
1993-08-17,0.8633333333333334,3.39625,94.75,4.736666666666666,NA,BQ3
1993-10-19,0.8366666666666667,3.013333333333333,22.25,4.5344444444444445,NA,BQ3
1993-12-21,0.8077777777777778,2.6155555555555554,16,4.054444444444444,NA,BQ3
1994-02-22,0.9011111111111111,3.312222222222222,55.66666666666667,4.912222222222222,NA,BQ3
1994-04-26,0.8555555555555555,3.5833333333333335,17.11111111111111,5.291111111111111,NA,BQ3
1994-06-28,0.888,3.54,97.75,5,NA,BQ3
1994-08-30,0.8577777777777778,3.3277777777777775,NA,4.845555555555555,NA,BQ3
1994-11-01,0.8477777777777777,3.082222222222222,NA,4.412222222222222,NA,BQ3
1995-01-03,0.9033333333333333,3.5677777777777777,NA,4.972222222222222,NA,BQ3
1995-03-07,0.7542857142857143,3.3257142857142856,NA,4.804285714285714,NA,BQ3
1995-05-09,0.716,3.104,NA,4.46,NA,BQ3
1995-07-11,0.76,3.2,NA,4.8149999999999995,NA,BQ3
1995-09-12,NA,NA,NA,NA,NA,BQ3
1995-11-14,0.908,3.312,NA,4.896,NA,BQ3
1989-05-16,0.6855555555555556,1.96,59.625,6.483333333333333,NA,PRM
1989-07-18,0.6614285714285714,1.5783333333333334,73.71428571428571,6.252857142857143,NA,PRM
1989-09-19,1.21,2.194,273.8,6.906,NA,PRM
1989-11-21,0.8825000000000001,2.572857142857143,112.71428571428571,9.21857142857143,NA,PRM
1990-01-23,1.0688888888888888,2.106666666666667,209.22222222222223,8.71,NA,PRM
1990-03-27,1.0077777777777777,2.152222222222222,143.33333333333334,9.083333333333334,NA,PRM
1990-05-29,0.9544444444444444,2.002222222222222,187,8.342222222222222,NA,PRM
1990-07-31,0.8522222222222222,2.1422222222222222,131.88888888888889,9.635555555555555,NA,PRM
1990-10-02,0.77,1.9877777777777779,126.125,7.89,NA,PRM
1990-12-04,0.6533333333333333,2.1144444444444446,136.75,6.934444444444445,NA,PRM
1991-02-05,0.8922222222222222,1.9511111111111112,121.625,7.41875,NA,PRM
1991-04-09,0.77,0.9285714285714285,50.25,4.635,NA,PRM
1991-06-11,0.7728571428571429,1.61625,58.33333333333333,5.595714285714285,NA,PRM
1991-08-13,0.8411111111111111,2.61,80.42857142857143,9.283333333333333,NA,PRM
1991-10-15,0.72125,1.975,118.88888888888889,6.5337499999999995,NA,PRM
1991-12-17,0.7444444444444445,1.9277777777777778,128.11111111111111,8.153333333333332,NA,PRM
1992-02-18,0.9533333333333334,2.8133333333333335,108.375,9.7325,NA,PRM
1992-04-21,0.8288888888888889,1.8177777777777777,54.375,7.38,NA,PRM
1992-06-23,0.7744444444444444,2.088888888888889,38.111111111111114,8.1466666666666665,NA,PRM
1992-08-25,0.8466666666666667,2.39,52.55555555555556,9.634444444444444,NA,PRM
1992-10-27,0.70625,1.77125,33.57142857142857,7.395,NA,PRM
1992-12-29,0.7255555555555555,1.9188888888888889,NA,7.552222222222222,NA,PRM
1993-03-02,0.8055555555555556,2.371111111111111,81.33333333333333,9.314444444444444,NA,PRM
1993-05-04,0.8555555555555555,1.9933333333333334,42,7.9944444444444445,NA,PRM
1993-07-06,0.7675,2.01,63,8.5875,NA,PRM
1993-09-07,0.7211111111111111,1.9766666666666666,49.111111111111114,8.001111111111111,NA,PRM
1993-11-09,0.6577777777777778,1.6811111111111112,28.833333333333332,7.39625,NA,PRM
1994-01-11,0.5700000000000001,1.6344444444444444,6.333333333333333,6.863333333333333,NA,PRM
1994-03-15,0.7277777777777777,2.2044444444444444,18.5,9.652222222222223,NA,PRM
1994-05-17,0.8633333333333333,2.3433333333333333,19.625,8.848888888888888,NA,PRM
1994-07-19,0.8666666666666667,2.5,119,9.666666666666666,NA,PRM
1994-09-20,0.7844444444444444,1.8944444444444444,NA,8.686666666666667,NA,PRM
1994-11-22,0.6855555555555556,2.1277777777777778,43,8.345555555555556,NA,PRM
1995-01-24,0.6900000000000001,2.0966666666666667,NA,8.94111111111111,NA,PRM
1995-03-28,0.7733333333333333,2.2916666666666665,NA,9.715,NA,PRM
1995-05-30,0.666,2.232,NA,9.906,NA,PRM
1995-08-01,NA,NA,NA,NA,NA,PRM
1995-10-03,NA,NA,NA,NA,NA,PRM
1995-12-05,0.7316666666666667,1.9316666666666666,NA,7.956666666666667,NA,PRM
